Study_number,Authors,Title,Source,Volume,Issue,BP,EP,PubYear,Notes,Citations,DE,DLD,DOI,nonEnglish,Rank,SearchDate,SearchTerm
7906,"Golubtsov, V. A.; Cherkashina, A. A.; Pustovoytov, K. E.; Stahr, K.",Stable carbon and oxygen isotopes in pedogenic carbonate coatings of chernozems in the Southern Cis-Baikalia as indicators of local environmental changes,EURASIAN SOIL SCIENCE,47,10,1015,1026,2014,,0,,,10.1134/S1064229314100032,N,3,12/24/2015,“soil respiration”
7907,"Karsten, Ulf; Herburger, Klaus; Holzinger, Andreas","DEHYDRATION, TEMPERATURE, AND LIGHT TOLERANCE IN MEMBERS OF THE AEROTERRESTRIAL GREEN ALGAL GENUS INTERFILUM (STREPTOPHYTA) FROM BIOGEOGRAPHICALLY DIFFERENT TEMPERATE SOILS",JOURNAL OF PHYCOLOGY,50,5,804,816,2014,,3,,,10.1111/jpy.12210,N,4,12/24/2015,“soil respiration”
7908,"Song, Bing; Niu, Shuli; Luo, Ruisen; Luo, Yiqi; Chen, Jiquan; Yu, Guirui; Olejnik, Janusz; Wohlfahrt, Georg; Kiely, Gerard; Noormets, Asko; Montagnani, Leonardo; Cescatti, Alessandro; Magliulo, Vincenzo; Law, Beverly Elizabeth; Lund, Magnus; Varlagin, Andrej; Raschi, Antonio; Peichl, Matthias; Nilsson, Mats B.; Merbold, Lutz",Divergent apparent temperature sensitivity of terrestrial ecosystem respiration,JOURNAL OF PLANT ECOLOGY,7,5,419,428,2014,,0,,,10.1093/jpe/rtu014,N,4,12/24/2015,“soil respiration”
7909,"Chang, Wonjae; Ghoshal, Subhasis",Respiratory quotients as a useful indicator of the enhancement of petroleum hydrocarbon biodegradation in field-aged contaminated soils in cold climates,COLD REGIONS SCIENCE AND TECHNOLOGY,106,,110,119,2014,,1,,,10.1016/j.coldregions.2014.06.010,N,4,12/24/2015,“soil respiration”
7910,"Zhang, Ying; Xu, Jun; Dong, Fengshou; Liu, Xingang; Wu, Xiaohu; Zheng, Yongquan",Response of microbial community to a new fungicide fluopyram in the silty-loam agricultural soil,ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,108,,273,280,2014,,0,,,10.1016/j.ecoenv.2014.07.018,N,4,12/24/2015,“soil respiration”
7911,"Mukherjee, Shinjini; Juottonen, Heli; Siivonen, Pauli; Quesada, Cosme Lloret; Tuomi, Pirjo; Pulkkinen, Pertti; Yrjala, Kim",Spatial patterns of microbial diversity and activity in an aged creosote-contaminated site,ISME JOURNAL,8,10,2131,2142,2014,,4,,,10.1038/ismej.2014.151,N,4,12/24/2015,“soil respiration”
7912,"Meehan, Timothy D.; Couture, John J.; Bennett, Alison E.; Lindroth, Richard L.",Herbivore-mediated material fluxes in a northern deciduous forest under elevated carbon dioxide and ozone concentrations,NEW PHYTOLOGIST,204,2,397,407,2014,,3,,,10.1111/nph.12947,N,3,12/24/2015,“soil respiration”
7913,"Xu, Wenhua; Li, Wei; Jiang, Ping; Wang, Hui; Bai, Edith",Distinct temperature sensitivity of soil carbon decomposition in forest organic layer and mineral soil,SCIENTIFIC REPORTS,4,,,,2014,,1,,,10.1038/srep06512,N,3,12/24/2015,“soil respiration”
7914,"Garg, Neera; Manchanda, Geetanjali; Singla, Priyanka",Analysis of emergence stage facilitates the evaluation of chickpea (Cicer arietinum L.) genotypes for salinity tolerance imparted by mycorrhizal colonization,ACTA PHYSIOLOGIAE PLANTARUM,36,10,2651,2669,2014,,1,,,10.1007/s11738-014-1636-3,N,3,12/24/2015,“soil respiration”
7915,"Hilton, Robert G.; Gaillardet, Jerome; Calmels, Damien; Birck, Jean-Louis",Geological respiration of a mountain belt revealed by the trace element rhenium,EARTH AND PLANETARY SCIENCE LETTERS,403,,27,36,2014,,5,,,10.1016/j.epsl.2014.06.021,N,4,12/24/2015,“soil respiration”
7916,"Jin, Lixin; Ogrinc, Nives; Yesavage, Tiffany; Hasenmueller, Elizabeth A.; Ma, Lin; Sullivan, Pamela L.; Kaye, Jason; Duffy, Christopher; Brantley, Susan L.",The CO2 consumption potential during gray shale weathering: Insights from the evolution of carbon isotopes in the Susquehanna Shale Hills critical zone observatory,GEOCHIMICA ET COSMOCHIMICA ACTA,142,,260,280,2014,,2,,,10.1016/j.gca.2014.07.006,N,4,12/24/2015,“soil respiration”
7917,"Simmons, C. W.; Reddy, A. P.; Simmons, B. A.; Singer, S. W.; VanderGheynst, J. S.",Effect of inoculum source on the enrichment of microbial communities on two lignocellulosic bioenergy crops under thermophilic and high-solids conditions,JOURNAL OF APPLIED MICROBIOLOGY,117,4,1025,1034,2014,,0,,,10.1111/jam.12609,N,4,12/24/2015,“soil respiration”
7918,"Kuehfuss, S.; Hoegy, P.; Fangmeier, A.",Influence of long-term CO2 storage on delta C-13 in vials capped with butyl and butyl/PTFE caps and the relevance for ecological samples,PLANT AND SOIL,383,02-Jan,99,110,2014,,1,,,10.1007/s11104-014-2156-z,N,4,12/24/2015,“soil respiration”
7919,"Zhou, Chan; Zhang, Zhuo; Wang, Zhengwen; Yang, Yunfei",Difference in capacity of physiological integration between two ecotypes of Leymus chinensis underlies their different performance,PLANT AND SOIL,383,02-Jan,191,202,2014,,1,,,10.1007/s11104-014-2169-7,N,3,12/24/2015,“soil respiration”
7920,"Li, Hui; Ye, Dandan; Wang, Xugao; Settles, Matthew Lee; Wang, Jun; Hao, Zhanqing; Zhou, Lisha; Dong, Ping; Jiang, Yong; Ma, Zhanshan (Sam)",Soil bacterial communities of different natural forest types in Northeast China,PLANT AND SOIL,383,02-Jan,203,216,2014,,3,,,10.1007/s11104-014-2165-y,N,3,12/24/2015,“soil respiration”
7921,"Karki, Sandhya; Elsgaard, Lars; Audet, Joachim; Laerke, Poul Erik",Mitigation of greenhouse gas emissions from reed canary grass in paludiculture: effect of groundwater level,PLANT AND SOIL,383,02-Jan,217,230,2014,,2,,,10.1007/s11104-014-2164-z,N,3,12/24/2015,“soil respiration”
7922,"Andruschkewitsch, Meike; Wachendorf, Christine; Sradnick, Andr; Hensgen, Frank; Joergensen, Rainer Georg; Wachendorf, Michael",Soil substrate utilization pattern and relation of functional evenness of plant groups and soil microbial community in five low mountain NATURA 2000,PLANT AND SOIL,383,02-Jan,275,289,2014,,0,,,10.1007/s11104-014-2167-9,N,3,12/24/2015,“soil respiration”
7923,"Curiel Yuste, Jorge; Fernandez-Gonzalez, Antonio Jose; Fernandez-Lopez, Manuel; Ogaya, Roma; Penuelas, Josep; Lloret, Francisco",Functional diversification within bacterial lineages promotes wide functional overlapping between taxonomic groups in a Mediterranean forest soil.,FEMS microbiology ecology,90,1,54,67,2014,,0,,,10.1111/1574-6941.12373,N,4,12/24/2015,“soil respiration”
7924,"Gallo, Erika L.; Lohse, Kathleen A.; Ferlin, Christopher M.; Meixner, Thomas; Brooks, Paul D.",Physical and biological controls on trace gas fluxes in semi-arid urban ephemeral waterways,BIOGEOCHEMISTRY,121,1,189,207,2014,,5,N,Y,10.1007/s10533-013-9927-0,N,2,12/24/2015,“soil respiration”
7925,"Shanmugam, Sanjutha; Abbott, Lynette K.; Murphy, Daniel V.",Clay addition to lime-amended biosolids overcomes water repellence and provides nitrogen supply in an acid sandy soil,BIOLOGY AND FERTILITY OF SOILS,50,7,1047,1059,2014,,0,,,10.1007/s00374-014-0927-6,N,4,12/24/2015,“soil respiration”
7926,"Sun, Zhencai; Bruun, Esben Wilson; Arthur, Emmanuel; de Jonge, Lis Wollesen; Moldrup, Per; Hauggaard-Nielsen, Henrik; Elsgaard, Lars","Effect of biochar on aerobic processes, enzyme activity, and crop yields in two sandy loam soils",BIOLOGY AND FERTILITY OF SOILS,50,7,1087,1097,2014,,7,,,10.1007/s00374-014-0928-5,N,3,12/24/2015,“soil respiration”
7927,"Wang, Zhanlei; Li, Yongfu; Chang, Scott X.; Zhang, Jiaojiao; Jiang, Peikun; Zhou, Guomo; Shen, Zhenming",Contrasting effects of bamboo leaf and its biochar on soil CO2 efflux and labile organic carbon in an intensively managed Chinese chestnut plantation,BIOLOGY AND FERTILITY OF SOILS,50,7,1109,1119,2014,,3,Y,Y,10.1007/s00374-014-0933-8,N,1,12/24/2015,“soil respiration”
7928,"Yan, Nan; Marschner, Petra",Previous water content influences the response of soil respiration to changes in water content in non-saline and saline soils,BIOLOGY AND FERTILITY OF SOILS,50,7,1129,1140,2014,,0,,,10.1007/s00374-014-0932-9,N,3,12/24/2015,“soil respiration”
7929,"Du, Yuhan; Guo, Peng; Liu, Jianqiu; Wang, Chunyu; Yang, Ning; Jiao, Zhenxia",Different types of nitrogen deposition show variable effects on the soil carbon cycle process of temperate forests,GLOBAL CHANGE BIOLOGY,20,10,3222,3228,2014,,4,N,Y,10.1111/gcb.12555,N,2,12/24/2015,“soil respiration”
7930,"Wang, Xin; Liu, Lingli; Piao, Shilong; Janssens, Ivan A.; Tang, Jianwu; Liu, Weixing; Chi, Yonggang; Wang, Jing; Xu, Shan",Soil respiration under climate warming: differential response of heterotrophic and autotrophic respiration,GLOBAL CHANGE BIOLOGY,20,10,3229,3237,2014,,3,N,Y,10.1111/gcb.12620,N,2,12/24/2015,“soil respiration”
7931,"Beamish, Alison; Neil, Allison; Wagner, Ioan; Scott, Neal A.","Short-term impacts of active layer detachments on carbon exchange in a High Arctic ecosystem, Cape Bounty, Nunavut, Canada",POLAR BIOLOGY,37,10,1459,1468,2014,,1,N,Y,10.1007/s00300-014-1536-4,N,2,12/24/2015,“soil respiration”
7932,"Hinson, A V; Schlunssen, V; Agodokpessi, G; Sigsgaards, T; Fayomi, B",The prevalence of byssinosis among cotton workers in the north of Benin.,The international journal of occupational and environmental medicine,5,4,194,200,2014,,0,,,,N,4,12/24/2015,“soil respiration”
7933,"Du, Yongtao; Rao, Pinhua; Li, Yinsheng; Qiu, Jiangping; Qiu, Weiguo; Tang, Hao; Potter, Murray A.",Toxicological Responses of the Earthworm Eisenia fetida to 18-Crown-6 Under Laboratory Conditions,BULLETIN OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY,93,4,452,455,2014,,1,,,10.1007/s00128-014-1345-z,N,4,12/24/2015,“soil respiration”
7934,"Huang, J. Y.; Richard, H.; Zheng, S. F.",Effects of nitrogen fertilization on soil labile carbon fractions of freshwater marsh soil in Northeast China,INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,11,7,2009,2014,2014,,0,,,10.1007/s13762-013-0397-7,N,3,12/24/2015,“soil respiration”
7935,"de Araujo Neto, Sebastiao Elviro; da Silva, Alisson Nunes; Kusdra, Jorge Ferreira; Kolln, Faelen Tais; Andrade Neto, Romeu de Carvalho","Soil biological activity under intercropping of passion fruit, pineapple, maize, cassava and cover crops",REVISTA CIENCIA AGRONOMICA,45,4,650,658,2014,,0,,,,N,3,12/24/2015,“soil respiration”
7936,"Qiao, Yunfa; Miao, Shujie; Silva, Lucas C. R.; Horwath, William R.",Understory species regulate litter decomposition and accumulation of C and N in forest soils: A long-term dual-isotope experiment,FOREST ECOLOGY AND MANAGEMENT,329,,318,327,2014,,1,,,10.1016/j.foreco.2014.04.025,N,3,12/24/2015,“soil respiration”
7937,"Leon, Elievf; Vargas, Rodrigo; Bullock, Stephen; Lopez, Eulogio; Panosso, Alan Rodrigo; La Scala, Newton, Jr.","Hot spots, hot moments, and spatio-temporal controls on soil CO2 efflux in a water-limited ecosystem",SOIL BIOLOGY & BIOCHEMISTRY,77,,12,21,2014,,5,Y,Y,10.1016/j.soilbio.2014.05.029,N,1,12/24/2015,“soil respiration”
7938,"Liu, Yuan; Li, Mao; Zheng, Jinwei; Li, Lianqing; Zhang, Xuhui; Zheng, Jufeng; Pan, Genxing; Yu, Xinyan; Wang, Jiafang",Short-term responses of microbial community and functioning to experimental CO2 enrichment and warming in a Chinese paddy field,SOIL BIOLOGY & BIOCHEMISTRY,77,,58,68,2014,,1,,,10.1016/j.soilbio.2014.06.011,N,3,12/24/2015,“soil respiration”
7939,"Rousk, Johannes; Hill, Paul W.; Jones, Davey L.",Using the concentration-dependence of respiration arising from glucose addition to estimate in situ concentrations of labile carbon in grassland soil,SOIL BIOLOGY & BIOCHEMISTRY,77,,81,88,2014,,1,N,Y,10.1016/j.soilbio.2014.06.015,N,2,12/24/2015,“soil respiration”
7940,"Wei, Hui; Guenet, Bertrand; Vicca, Sara; Nunan, Naoise; Asard, Han; AbdElgawad, Hamada; Shen, Weijun; Janssens, Ivan A.",High clay content accelerates the decomposition of fresh organic matter in artificial soils,SOIL BIOLOGY & BIOCHEMISTRY,77,,100,108,2014,,4,,,10.1016/j.soilbio.2014.06.006,N,3,12/24/2015,“soil respiration”
7941,"Rodriguez, Alexandra; Lovett, Gary M.; Weathers, Kathleen C.; Arthur, Mary A.; Templer, Pamela H.; Goodale, Christine L.; Christenson, Lynn M.",Lability of C in temperate forest soils: Assessing the role of nitrogen addition and tree species composition,SOIL BIOLOGY & BIOCHEMISTRY,77,,129,140,2014,,1,N,Y,10.1016/j.soilbio.2014.06.025,N,2,12/24/2015,“soil respiration”
7942,"Wiaux, F.; Vanclooster, M.; Cornelis, J. -T.; Van Oost, K.",Factors controlling soil organic carbon persistence along an eroding hillslope on the loess belt,SOIL BIOLOGY & BIOCHEMISTRY,77,,187,196,2014,,3,Y,Y,10.1016/j.soilbio.2014.05.032,N,2,12/24/2015,“soil respiration”
7943,"Walela, Christine; Daniel, Heiko; Wilson, Brian; Lockwood, Peter; Cowie, Annette; Harden, Steven",The initial lignin:nitrogen ratio of litter from above and below ground sources strongly and negatively influenced decay rates of slowly decomposing litter carbon pools,SOIL BIOLOGY & BIOCHEMISTRY,77,,268,275,2014,,6,,,10.1016/j.soilbio.2014.06.013,N,3,12/24/2015,“soil respiration”
7944,"Eisenhauer, Nico; Wirsch, Daniela; Cesarz, Simone; Craven, Dylan; Dietrich, Peter; Friese, Julia; Helm, Juliane; Hines, Jes; Schellenberg, Madlen; Scherreiks, Pascal; Schwarz, Benjamin; Uhe, Christin; Wagner, Kristin; Steinauer, Katja",Organic textile dye improves the visual assessment of the bait-lamina test,APPLIED SOIL ECOLOGY,82,,78,81,2014,,1,,,10.1016/j.apsoil.2014.05.008,N,4,12/24/2015,“soil respiration”
7945,"Muscolo, Adele; Panuccio, Maria Rosaria; Mallamaci, Carmelo; Sidari, Maria",Biological indicators to assess short-term soil quality changes in forest ecosystems,ECOLOGICAL INDICATORS,45,,416,423,2014,,3,,,10.1016/j.ecolind.2014.04.047,N,3,12/24/2015,“soil respiration”
7946,"Vysna, Veronika; Dyer, Fiona; Maher, William; Norris, Richard",Cotton-strip decomposition rate as a river condition indicator - Diel temperature range and deployment season and length also matter,ECOLOGICAL INDICATORS,45,,508,521,2014,,0,,,10.1016/j.ecolind.2014.05.011,N,4,12/24/2015,“soil respiration”
7947,"Wang, Jiaoyue; Song, Changchun; Zhang, Jing; Wang, Lili; Zhu, Xiaoyan; Shi, Fuxi",Temperature sensitivity of soil carbon mineralization and nitrous oxide emission in different ecosystems along a mountain wetland-forest ecotone in the continuous permafrost of Northeast China,CATENA,121,,110,118,2014,,1,N,Y,10.1016/j.catena.2014.05.007,N,2,12/24/2015,“soil respiration”
7948,"Galende, Maria A.; Becerril, Jose M.; Barrutia, Oihana; Artetxe, Unai; Garbisu, Carlos; Hernandez, Antonio",Field assessment of the effectiveness of organic amendments for aided phytostabilization of a Pb-Zn contaminated mine soil,JOURNAL OF GEOCHEMICAL EXPLORATION,145,,181,189,2014,,4,,,10.1016/j.gexplo.2014.06.006,N,3,12/24/2015,“soil respiration”
7949,"Brouns, Karlijn; Verhoeven, Jos T. A.; Hefting, Mariet M.",The effects of salinization on aerobic and anaerobic decomposition and mineralization in peat meadows: The roles of peat type and land use,JOURNAL OF ENVIRONMENTAL MANAGEMENT,143,,44,53,2014,,2,,,10.1016/j.jenvman.2014.04.009,N,3,12/24/2015,“soil respiration”
7950,"Li, Yue; Liu, YingHui; Wang, YaLin; Niu, Lei; Xu, Xia; Tian, YuQiang","Interactive effects of soil temperature and moisture on soil N mineralization in a Stipa krylovii grassland in Inner Mongolia, China",JOURNAL OF ARID LAND,6,5,571,580,2014,,1,,,10.1007/s40333-014-0025-5,N,3,12/24/2015,“soil respiration”
7951,"Cameron, Erin K.; Cahill, James F., Jr.; Bayne, Erin M.",Root Foraging Influences Plant Growth Responses to Earthworm Foraging,PLOS ONE,9,9,,,2014,,1,,,10.1371/journal.pone.0108873,N,3,12/24/2015,“soil respiration”
7952,"Moorhead, Daryl; Lashermes, Gwenaelle; Recous, Sylvie; Bertrand, Isabelle",Interacting Microbe and Litter Quality Controls on Litter Decomposition: A Modeling Analysis,PLOS ONE,9,9,,,2014,,0,,,10.1371/journal.pone.0108769,N,4,12/24/2015,“soil respiration”
7953,"Zhang, Xia; Niu, Guo-Yue; Elshall, Ahmed S.; Ye, Ming; Barron-Gafford, Greg A.; Pavao-Zuckerman, Mitch",Assessing five evolving microbial enzyme models against field measurements from a semiarid savannah-What are the mechanisms of soil respiration pulses?,GEOPHYSICAL RESEARCH LETTERS,41,18,6428,6434,2014,,1,,,10.1002/2014GL061399,N,3,12/24/2015,“soil respiration”
7954,"Grant, R. F.",Nitrogen mineralization drives the response of forest productivity to soil warming: Modelling in ecosys vs. measurements from the Harvard soil heating experiment,ECOLOGICAL MODELLING,288,,38,46,2014,,2,,,10.1016/j.ecolmodel.2014.05.015,N,4,12/24/2015,“soil respiration”
7955,"Lang'at, Joseph Kipkorir Sigi; Kairo, James G.; Mencuccini, Maurizio; Bouillon, Steven; Skov, Martin W.; Waldron, Susan; Huxham, Mark",Rapid Losses of Surface Elevation following Tree Girdling and Cutting in Tropical Mangroves,PLOS ONE,9,9,,,2014,,4,Y,Y,10.1371/journal.pone.0107868,N,2,12/24/2015,“soil respiration”
7956,"Margesin, Rosa; Minerbi, Stefano; Schinner, Franz",Long-Term Monitoring of Soil Microbiological Activities in Two Forest Sites in South Tyrol in the Italian Alps,MICROBES AND ENVIRONMENTS,29,3,277,285,2014,,1,,,10.1264/jsme2.ME14050,N,3,12/24/2015,“soil respiration”
7957,"Rutting, Tobias; Bjork, Robert G.; Meyer, Astrid; Klemedtsson, Leif; Sikstrom, Ulf",Reduced global warming potential after wood ash application in drained Northern peatland forests,FOREST ECOLOGY AND MANAGEMENT,328,,159,166,2014,,0,Y,Y,10.1016/j.foreco.2014.05.033,N,2,12/24/2015,“soil respiration”
7958,"Kurth, Valerie J.; Bradford, John B.; Slesak, Robert A.; D'Amato, Anthony W.",Initial soil respiration response to biomass harvesting and green-tree retention in aspen-dominated forests of the Great Lakes region,FOREST ECOLOGY AND MANAGEMENT,328,,342,352,2014,,1,Y,Y,10.1016/j.foreco.2014.05.052,N,1,12/24/2015,“soil respiration”
7959,"Xiong, Xiong; Grunwald, Sabine; Myers, D. Brenton; Ross, C. Wade; Harris, Willie G.; Comerford, Nicolas B.",Interaction effects of climate and land use/land cover change on soil organic carbon sequestration,SCIENCE OF THE TOTAL ENVIRONMENT,493,,974,982,2014,,4,,,10.1016/j.scitotenv.2014.06.088,N,3,12/24/2015,“soil respiration”
7960,"Cicatelli, Angela; Baldantoni, Daniela; Iovieno, Paola; Carotenuto, Maurizio; Alfani, Anna; De Feis, Italia; Castiglione, Stefano","Genetically biodiverse potato cultivars grown on a suitable agricultural soil under compost amendment or mineral fertilization: yield, quality, genetic and epigenetic variations, soil properties",SCIENCE OF THE TOTAL ENVIRONMENT,493,,1025,1035,2014,,0,,,10.1016/j.scitotenv.2014.05.122,N,4,12/24/2015,“soil respiration”
7961,"Prolingheuer, N.; Scharnagl, B.; Graf, A.; Vereecken, H.; Herbst, M.",On the spatial variation of soil rhizospheric and heterotrophic respiration in a winter wheat stand,AGRICULTURAL AND FOREST METEOROLOGY,195,,24,31,2014,,3,Y,Y,10.1016/j.agrformet.2014.04.016,N,1,12/24/2015,“soil respiration”
7962,"Zobitz, J. M.; Moore, David J. P.; Quaife, Tristan; Braswell, Bobby H.; Bergeson, Andrew; Anthony, Jeremy A.; Monson, Russell K.",Joint data assimilation of satellite reflectance and net ecosystem exchange data constrains ecosystem carbon fluxes at a high-elevation subalpine forest,AGRICULTURAL AND FOREST METEOROLOGY,195,,73,88,2014,,2,,,10.1016/j.agrformet.2014.04.011,N,3,12/24/2015,“soil respiration”
7963,"Arnold, Chelsea; Ghezzehei, Teamrat A.; Berhe, Asmeret Asefaw","Early Spring, Severe Frost Events, and Drought Induce Rapid Carbon Loss in High Elevation Meadows",PLOS ONE,9,9,,,2014,,2,N,Y,10.1371/journal.pone.0106058,N,2,12/24/2015,“soil respiration”
7964,"Karhu, Kristiina; Auffret, Marc D.; Dungait, Jennifer A. J.; Hopkins, David W.; Prosser, James I.; Singh, Brajesh K.; Subke, Jens-Arne; Wookey, Philip A.; Agren, Goran I.; Sebastia, Maria-Teresa; Gouriveau, Fabrice; Bergkvist, Goran; Meir, Patrick; Nottingham, Andrew T.; Salinas, Norma; Hartley, Iain P.",Temperature sensitivity of soil respiration rates enhanced by microbial community response,NATURE,513,7516,81,+,2014,,25,N,Y,10.1038/nature13604,N,2,12/24/2015,“soil respiration”
7965,"Dauer, Jenny M.; Doherty, Jennifer H.; Freed, Allison L.; Anderson, Charles W.",Connections between Student Explanations and Arguments from Evidence about Plant Growth,CBE-LIFE SCIENCES EDUCATION,13,3,397,409,2014,,1,,,10.1187/cbe.14-02-0028,N,4,12/24/2015,“soil respiration”
7966,"Wu, Jianping; Liu, Zhanfeng; Huang, Guomin; Chen, Dima; Zhang, Weixin; Shao, Yuanhu; Wan, Songze; Fu, Shenglei",Response of soil respiration and ecosystem carbon budget to vegetation removal in Eucalyptus plantations with contrasting ages,SCIENTIFIC REPORTS,4,,,,2014,,2,Y,Y,10.1038/srep06262,N,1,12/24/2015,“soil respiration”
7967,"da Silva, Gustavo Soares; Diniz Melo, Christiane Augusta; Teixeira Fialho, Cintia Maria; Tuffi Santos, Leonardo David; Costa, Mauricio Dutra; da Silva, Antonio Alberto","Impact of sulfentrazone, isoxaflutole and oxyfluorfen on the microorganisms of two forest soils",BRAGANTIA,73,3,292,299,2014,,0,,,10.1590/1678-4499.0061,N,4,12/24/2015,“soil respiration”
7968,"Street, Tom A.; Doyle, Richard B.; Close, Dugald C.",Biochar Media Addition Impacts Apple Rootstock Growth and Nutrition,HORTSCIENCE,49,9,1188,1193,2014,,1,,,,N,4,12/24/2015,“soil respiration”
7969,"Moraes Tavares, Rose Luiza; Nahas, Ely","Humic fractions of forest, pasture and maize crop soils resulting from microbial activity",BRAZILIAN JOURNAL OF MICROBIOLOGY,45,3,963,969,2014,,0,,,,N,4,12/24/2015,“soil respiration”
7970,"Cortez, C. T.; Nunes, L. A. P. L.; Rodrigues, L. B.; Eisenhauer, N.; Araujo, A. S. F.",Soil microbial properties in Eucalyptus grandis plantations of different ages,JOURNAL OF SOIL SCIENCE AND PLANT NUTRITION,14,3,734,742,2014,,0,,,,N,3,12/24/2015,“soil respiration”
7971,"Lu, Shuang; Katahata, Shinitirou; Naramoto, Masaaki; Mizunaga, Hiromi; Wang, Quan",Controlling factors of temporal variation of soil respiration in a natural beech forest as revealed by natural incubation experiments,ECOLOGICAL RESEARCH,29,5,789,799,2014,,1,N,Y,10.1007/s11284-014-1158-x,N,2,12/24/2015,“soil respiration”
7972,"Zhao, Yang; Li, Xinrong; Zhang, Zhishang; Hu, Yigang; Chen, Yongle","Biological soil crusts influence carbon release responses following rainfall in a temperate desert, northern China",ECOLOGICAL RESEARCH,29,5,889,896,2014,,1,N,Y,10.1007/s11284-014-1177-7,N,2,12/24/2015,“soil respiration”
7973,"Nawaz, Muhammad Farrakh; Bourrie, Guilhem; Gul, Sadaf",FACTORS AFFECTING REDOX REACTIONS IN HYDROMORPHIC SOILS. A REVIEW,PAKISTAN JOURNAL OF AGRICULTURAL SCIENCES,51,3,517,523,2014,,0,,,,N,3,12/24/2015,“soil respiration”
7974,"Xu, Bing; Yang, Yuanhe; Li, Pin; Shen, Haihua; Fang, Jingyun",Global patterns of ecosystem carbon flux in forests: A biometric data-based synthesis,GLOBAL BIOGEOCHEMICAL CYCLES,28,9,962,973,2014,,0,N,Y,10.1002/2013GB004593,N,2,12/24/2015,“soil respiration”
7975,"Pumpanen, Jukka; Linden, Aki; Miettinen, Heli; Kolari, Pasi; Ilvesniemi, Hannu; Mammarella, Ivan; Hari, Pertti; Nikinmaa, Eero; Heinonsalo, Jussi; Back, Jaana; Ojala, Anne; Berninger, Frank; Vesala, Timo",Precipitation and net ecosystem exchange are the most important drivers of DOC flux in upland boreal catchments,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,119,9,1861,1878,2014,,0,N,Y,10.1002/2014JG002705,N,2,12/24/2015,“soil respiration”
7976,"He, Yujie; Yang, Jinyan; Zhuang, Qianlai; McGuire, Anthony D.; Zhu, Qing; Liu, Yaling; Teskey, Robert O.",Uncertainty in the fate of soil organic carbon: A comparison of three conceptually different decomposition models at a larch plantation,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,119,9,1892,1905,2014,,0,,,10.1002/2014JG002701,N,3,12/24/2015,“soil respiration”
7977,"Wu, Fang-Chen; Wu, Jane-Yii; Liao, Yi-Jyun; Wang, Man-Ying; Shih, Ing-Lung",Cofermentation of glucose and galactose by a newly isolated Saccharomyces cerevisiae strain in free and immobilized forms,JOURNAL OF THE TAIWAN INSTITUTE OF CHEMICAL ENGINEERS,45,5,2387,2394,2014,,0,,,10.1016/j.jtice.2014.07.015,N,4,12/24/2015,“soil respiration”
7978,"Szakmar, Katalin; Reichart, Oliver; Szatmari, Istvan; Erdosi, Orsolya; Szili, Zsuzsanna; Laszlo, Noemi; Koermoeczy, Peter Szekely; Laczay, Peter",IN VITRO STUDY ON THE EFFECT OF DOXYCYCLINE ON THE MICROBIAL ACTIVITY OF SOIL DETERMINED BY REDOX-POTENTIAL MEASURING SYSTEM,ACTA MICROBIOLOGICA ET IMMUNOLOGICA HUNGARICA,61,3,317,328,2014,,0,,,10.1556/AMicr.61.2014.3.6,N,4,12/24/2015,“soil respiration”
7979,"Condron, L. M.; Hopkins, D. W.; Gregorich, E. G.; Black, A.; Wakelin, S. A.",Long-term irrigation effects on soil organic matter under temperate grazed pasture,EUROPEAN JOURNAL OF SOIL SCIENCE,65,5,741,750,2014,,2,N,Y,10.1111/ejss.12164,N,2,12/24/2015,“soil respiration”
7980,"Knapp, Benjamin O.; Olson, Matthew G.; Larsen, David R.; Kabrick, John M.; Jensen, Randy G.","Missouri Ozark Forest Ecosystem Project: A Long-Term, Landscape-Scale, Collaborative Forest Management Research Project",JOURNAL OF FORESTRY,112,5,513,524,2014,,0,,,10.5849/jof.13-102,N,3,12/24/2015,“soil respiration”
7981,"Yoon, Tae Kyung; Noh, Nam Jin; Han, Saerom; Lee, Jongyeol; Son, Yowhan",Soil Moisture Effects on Leaf Litter Decomposition and Soil Carbon Dioxide Efflux in Wetland and Upland Forests,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,78,5,1804,1816,2014,,1,Y,Y,10.2136/sssaj2014.03.0094,N,2,12/24/2015,“soil respiration”
7982,"Ricker, Matthew C.; Stolt, Mark H.; Zavada, Michael S.",Comparison of Soil Organic Carbon Dynamics in Forested Riparian Wetlands and Adjacent Uplands,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,78,5,1817,1827,2014,,0,N,Y,10.2136/sssaj2014.01.0036,N,1,12/24/2015,“soil respiration”
